question,image,option1,option2,option3,option4,answerIndex,explanation
アサガオの芽生えの様子として正しいものはどれですか？,asagao.png,ア,イ,ウ,エ,3,アサガオは双子葉類なので、子葉が2枚ある「エ」が正解です。
アサガオのつぼみや開花の特徴として正しいものはどれですか？,"",昼の長さが長くなるとつぼみができる,一度しぼんだ花は次の日にまた開く,昼の長さが短くなり始めるとつぼみができる,つぼみの上の方からさく,2,アサガオは短日植物で、日が短くなるとつぼみができます。
アサガオのつぼみや開花の特徴として正しいものはどれですか？,"",花は夕方に開く,つぼみは1つしかできない,つぼみの下の方から咲く,開花には1週間以上かかる,2,アサガオのつぼみは茎の下の方から順に開花していきます。
アサガオの花びらとおしべの数の組み合わせとして正しいものはどれですか？,"",4枚 4本,5枚 5本,6枚 4本,5枚 6本,1,アサガオの花びらは5枚で合着しており、おしべも5本あります。
アサガオは何子葉類に分類されますか？,"",単子葉類,双子葉類,条件による,分類できない,1,アサガオは双子葉類で、芽生え時に子葉が2枚あります。
単子葉類に分類される植物はどれですか？,"",ホウセンカ,ヘチマ,ツユクサ,アサガオ,2,ツユクサは単子葉類で、葉脈が平行脈であることが特徴です。
アブラナの種子として正しいものはどれですか？,haburana.png,ア,イ,ウ,エ,1,アブラナの種子は小さくて黒い粒の形（イ）です。
東京で5月に球根を植えるのに適した植物はどれですか？,"",ダリア,チューリップ,スイセン,ヒヤシンス,0,チューリップ・スイセン・ヒヤシンスなどは，前年の秋に植えた球根が芽を出して成長し,春に花をさかせます。ダリア・グラジオラスは，春に球根を植えて育てます。
図の「あ」の部分のつくりの名前として正しいものはどれですか？,hechima.png,葉,おしべ,子房,花粉,2,図の部分は実になるふくらみで「子房」と呼ばれます。
図のつくりに関係する説明として正しいものはどれですか？,hechima.png,葉になる部分である,花粉を作る部分である,実になる部分である,根になる部分である,2,ヘチマの子房は将来実になる部分です。
養分を地下の茎に蓄える植物はどれですか？,"",ハス,ニンジン,タマネギ,キャベツ,0,ニンジンやサツマイモは根に，タマネギやニンニクは葉に養分をたくわえます。ハスやジャガイ ようぶん
モは，地下のくきに養分をたくわえます。
この葉の葉脈の名前として正しいものはどれですか？,yomyaku.png,平行脈,網状脈,維管束,放射脈,1,画像は葉脈が網のように広がる『網状脈』で、双子葉類に見られます。
石灰水は何と反応しますか？,"",酸素,二酸化炭素,窒素,水蒸気,1,石灰水は二酸化炭素と反応して白くにごります。
石灰水が二酸化炭素と反応したとき、どうなりますか？,"",透明になる,白くにごる,黒くなる,気体が出る,1,石灰水に二酸化炭素を通すと白くにごります。これは炭酸カルシウムができるからです。
葉を入れた瓶に石灰水を入れて振ったとき、どうなりますか？,"",透明になる,白くにごる,変化しない,黒くなる,1,植物が呼吸して出した二酸化炭素が石灰水と反応し、白くにごります。
葉を入れた瓶の石灰水が白くにごる現象は、植物のどんなはたらきによるものですか？,"",光合成,呼吸,蒸散,水の吸収,1,植物も呼吸をしており、呼吸により二酸化炭素を出すためです。
